[06:39:00] Searching for collection named: 'a - non-SSRN Screening'
[06:39:03]   Found collection key: X5MG34TK
[06:39:03] Fetching items from collection X5MG34TK...
[21:07:36]   [1330/2952] discard=714 maybe=349 keep=267 err=0 rate=0.03/s eta=1057min
[21:14:10]   [1340/2952] discard=722 maybe=351 keep=267 err=0 rate=0.03/s eta=1051min
[21:20:44]   [1350/2952] discard=728 maybe=354 keep=268 err=0 rate=0.03/s eta=1044min
[21:27:26]   [1360/2952] discard=735 maybe=355 keep=270 err=0 rate=0.03/s eta=1038min
[21:33:47]   [1370/2952] discard=737 maybe=360 keep=273 err=0 rate=0.03/s eta=1031min
[21:40:13]   [1380/2952] discard=741 maybe=365 keep=274 err=0 rate=0.03/s eta=1025min
[21:47:26]   [1390/2952] discard=744 maybe=369 keep=277 err=0 rate=0.03/s eta=1019min
[21:54:03]   [1400/2952] discard=750 maybe=371 keep=279 err=0 rate=0.03/s eta=1013min
[22:00:45]   [1410/2952] discard=757 maybe=374 keep=279 err=0 rate=0.03/s eta=1006min
[22:07:01]   [1420/2952] discard=764 maybe=377 keep=279 err=0 rate=0.03/s eta=1000min
[22:13:35]   [1430/2952] discard=769 maybe=379 keep=282 err=0 rate=0.03/s eta=993min
[22:20:18]   [1440/2952] discard=775 maybe=380 keep=285 err=0 rate=0.03/s eta=987min
[22:27:06]   [1450/2952] discard=777 maybe=387 keep=286 err=0 rate=0.03/s eta=980min
[22:33:39]   [1460/2952] discard=784 maybe=388 keep=288 err=0 rate=0.03/s eta=974min
[22:40:12]   [1470/2952] discard=788 maybe=392 keep=290 err=0 rate=0.03/s eta=967min
[22:46:37]   [1480/2952] discard=793 maybe=395 keep=292 err=0 rate=0.03/s eta=961min
[22:53:02]   [1490/2952] discard=801 maybe=397 keep=292 err=0 rate=0.03/s eta=954min
[22:59:19]   [1500/2952] discard=809 maybe=398 keep=293 err=0 rate=0.03/s eta=947min
[23:06:04]   [1510/2952] discard=814 maybe=400 keep=296 err=0 rate=0.03/s eta=941min
[23:12:47]   [1520/2952] discard=819 maybe=404 keep=297 err=0 rate=0.03/s eta=935min
[23:19:24]   [1530/2952] discard=823 maybe=409 keep=298 err=0 rate=0.03/s eta=928min
[23:25:51]   [1540/2952] discard=830 maybe=409 keep=301 err=0 rate=0.03/s eta=922min
[23:32:26]   [1550/2952] discard=836 maybe=410 keep=304 err=0 rate=0.03/s eta=915min
[23:38:48]   [1560/2952] discard=841 maybe=415 keep=304 err=0 rate=0.03/s eta=909min
[23:45:22]   [1570/2952] discard=847 maybe=418 keep=305 err=0 rate=0.03/s eta=902min
[23:51:45]   [1580/2952] discard=854 maybe=420 keep=306 err=0 rate=0.03/s eta=895min
[23:58:16]   [1590/2952] discard=859 maybe=423 keep=308 err=0 rate=0.03/s eta=889min
